"menu_name";"menu_descr";"menu_calories";"meal";"meal_starts_at";"item_name";"quantity";"serving_name";"calories";"protein";"fat";"carbohydrate";"sugars";"cholesterol";"fiber";"calcium";"sodium";"saturated_fat"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Whole Wheat Pasta, cooked";"1.0000";"cup, elbow shaped (4.9 oz)";"174";"7";"1";"37";"1";"0";"4";"21";"4";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Parmesan Cheese, shredded";"2.0000";"tablespoon (0.2 oz)";"42";"4";"3";"0";"0";"7";"0";"125";"170";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Lunch";"13:00:00";"Skim Milk";"1.0000";"cup (8.6 oz)";"91";"9";"1";"12";"12";"5";"0";"316";"130";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Strawberries, fresh";"1.0000";"cup, halves (5.4 oz)";"49";"1";"0";"12";"7";"0";"3";"24";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Asparagus, boiled, drained";"1.0000";"serving, 1/2 cup (3.2 oz)";"20";"2";"0";"4";"1";"0";"2";"21";"13";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Near East: Couscous: Toasted Pine Nut, prepared as directed";"1.0000";"cup";"230";"8";"6";"38";"2";"0";"2";"20";"510";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"1.0000";"serving (3.0 oz)";"175";"19";"10";"0";"0";"54";"0";"13";"52";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1500";"Dinner";"19:00:00";"Olive oil";"2.0000";"teaspoon (0.2 oz)";"80";"0";"9";"0";"0";"0";"0";"0";"0";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Breakfast";"07:00:00";"Oats/oatmeal, cooked (all types)";"1.0000";"serving, 3/4 cup (6.2 oz)";"110";"5";"2";"19";"0";"0";"3";"14";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Breakfast";"07:00:00";"Skim Milk";"8.0000";"fl.oz (1.1 oz)";"91";"9";"1";"12";"12";"5";"0";"316";"130";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Breakfast";"07:00:00";"Walnuts";"1.0000";"serving, 7 nuts (1.0 oz)";"183";"4";"18";"4";"1";"0";"2";"27";"1";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Breakfast";"07:00:00";"Blueberries, fresh";"1.0000";"serving, 50 berries (2.4 oz)";"39";"1";"0";"10";"7";"0";"2";"4";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Feta Cheese";".5000";"cup, crumbled (5.3 oz)";"198";"11";"16";"3";"3";"67";"0";"370";"837";"11"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Strawberries, fresh";"1.0000";"cup, whole (5.1 oz)";"46";"1";"0";"11";"7";"0";"3";"23";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"100% Whole Wheat Dinner Rolls";"1.0000";"roll (1.1 oz)";"70";"3";"1";"13";"3";"0";"2";"0";"150";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Tomato, fresh";"6.0000";"wedge, 1/4 of medium tomato (1.1 oz)";"33";"2";"0";"7";"5";"0";"2";"19";"9";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"1750";"Lunch";"13:00:00";"Olive oil";"1.0000";"tablespoon (0.5 oz)";"119";"0";"14";"0";"0";"0";"0";"0";"0";"2"
